"eta","q","transformation","metric","group","mean","sd"
-0.5,0.7,"tangent","kurtosis","A",2.03357582058731,0.107889701250135
-0.5,0.7,"tangent","kurtosis","B",2.20371150283948,0.133085846494787
-0.5,0.7,"arcsine","skewness","A",2.30443271992626,0.0862349898572587
-0.5,0.7,"arcsine","skewness","B",2.55202790719314,0.0937793475014868
-0.5,0.7,"arcsine","kurtosis","A",8.04195895964581,0.544138470833199
-0.5,0.7,"arcsine","kurtosis","B",9.64679620086824,0.689328332671897
-0.5,0.7,"dual_group_logit","skewness","A",1.17382765950296,0.0519586667480587
-0.5,0.7,"dual_group_logit","skewness","B",1.30971749119733,0.0549561541825757
-0.5,0.7,"dual_group_logit","kurtosis","A",2.74372462448303,0.143671417205508
-0.5,0.7,"dual_group_logit","kurtosis","B",3.217531362867,0.190522895024004
-0.5,0.7,"dual_group_boxcox","skewness","A",0.976871142983402,0.0494211111773956
-0.5,0.7,"dual_group_boxcox","skewness","B",1.06265648924141,0.0522444670570403
-0.5,0.7,"dual_group_boxcox","kurtosis","A",2.10782613246581,0.109514454262772
-0.5,0.7,"dual_group_boxcox","kurtosis","B",2.32827407816036,0.134765684532027
-0.5,0.7,"boxcox","skewness","A",0.976938748650703,0.0494544012813809
-0.5,0.7,"boxcox","skewness","B",1.06266998381967,0.0521923248238982
-0.5,0.7,"boxcox","kurtosis","A",2.10806887430631,0.109669680522144
-0.5,0.7,"boxcox","kurtosis","B",2.32794929420216,0.134660596565676
-0.7,0,"original","skewness","A",1.86830339109937,0.0762221922940063
-0.7,0,"original","skewness","B",2.26155432913585,0.0955343613767408
-0.7,0,"original","kurtosis","A",6.67266476610587,0.47931940346781
-0.7,0,"original","kurtosis","B",9.02247317301121,0.684124203443617
-0.7,0,"logit","skewness","A",-0.890466032565909,0.0570305251327424
-0.7,0,"logit","skewness","B",-0.534318956765802,0.0432742002019154
-0.7,0,"logit","kurtosis","A",3.64468617521096,0.203151429965436
-0.7,0,"logit","kurtosis","B",2.9753430845547,0.163739424027
-0.7,0,"log","skewness","A",-1.05204855796713,0.059007316164161
-0.7,0,"log","skewness","B",-0.667809015096895,0.0448253778696204
-0.7,0,"log","kurtosis","A",3.9064411276875,0.23904005139712
-0.7,0,"log","kurtosis","B",3.17827373107769,0.19669212184228
-0.7,0,"tangent","skewness","A",-4.64105626074667,0.196320517534752
-0.7,0,"tangent","skewness","B",-3.30554806811553,0.125126735018276
-0.7,0,"tangent","kurtosis","A",25.9056613376929,1.88395301404473
-0.7,0,"tangent","kurtosis","B",18.0105050340166,1.222356144052
-0.7,0,"arcsine","skewness","A",0.921942680603419,0.0446568336762734
-0.7,0,"arcsine","skewness","B",1.21988266541722,0.0585133592882965
-0.7,0,"arcsine","kurtosis","A",3.44735241607306,0.166897806960889
-0.7,0,"arcsine","kurtosis","B",4.42870371465408,0.286667852074141
-0.7,0,"dual_group_logit","skewness","A",-0.648807528223256,0.0324445638185244
-0.7,0,"dual_group_logit","skewness","B",-0.296282064993217,0.0295625019390265
-0.7,0,"dual_group_logit","kurtosis","A",2.86754300478595,0.0760990922195192
-0.7,0,"dual_group_logit","kurtosis","B",2.22172716517954,0.0432999168447059
-0.7,0,"dual_group_boxcox","skewness","A",-0.29753036688573,0.0245215132151942
-0.7,0,"dual_group_boxcox","skewness","B",0.0189256647136947,0.0207757655346713
-0.7,0,"dual_group_boxcox","kurtosis","A",2.3675133752813,0.046941016854177
-0.7,0,"dual_group_boxcox","kurtosis","B",2.05005957079904,0.0330628991190085
-0.7,0,"boxcox","skewness","A",-0.262536885440667,0.0286492483987137
-0.7,0,"boxcox","skewness","B",0.0458052271759859,0.0276797442405031
