"Method","Power","FDR","Power_sd","FDR_sd","eta","q"
"log_t",0.0624,0.03,0.0448818876428325,0.0342893215995531,-0.5,0.5
"tangent_t",0.0332,0.0292,0.0346083425453658,0.0335652537995211,-0.5,0.5
"arcsine_t",0.0764,0.0232,0.0502422414735134,0.0327488144592266,-0.5,0.5
"wilcoxon",0.0628,0.0256,0.045217320360743,0.0319190896303181,-0.5,0.5
"dual_group_logit_t",0.08,0.0236,0.0482418151324421,0.0301350495622823,-0.5,0.5
"dual_group_boxcox_t",0.0612,0.03,0.0434678564626155,0.0342893215995531,-0.5,0.5
"boxcox_t",0.0612,0.0296,0.0434678564626155,0.0339316008368826,-0.5,0.5
"t",0.0344,0.0164,0.0341215888886029,0.0254859834720058,-0.5,0.6
"logit_t",0.0416,0.0336,0.0393564390275504,0.0335001884511509,-0.5,0.6
"log_t",0.0416,0.0336,0.0393564390275504,0.0335001884511509,-0.5,0.6
"tangent_t",0.0256,0.0324,0.0319190896303181,0.0334881254395427,-0.5,0.6
"arcsine_t",0.048,0.0224,0.0421637021355784,0.0302554778411107,-0.5,0.6
"wilcoxon",0.0412,0.0328,0.038750171065116,0.0352216645910675,-0.5,0.6
"dual_group_logit_t",0.0512,0.0292,0.0436996174543504,0.0340433472935535,-0.5,0.6
"dual_group_boxcox_t",0.0384,0.0332,0.0363684845252956,0.0336614157321244,-0.5,0.6
"boxcox_t",0.038,0.0332,0.0365701208279893,0.0336614157321244,-0.5,0.6
"t",0.0304,0.0116,0.0360112215956093,0.021495595038533,-0.5,0.7
"logit_t",0.0364,0.03,0.0390161841581494,0.0313339780720256,-0.5,0.7
"log_t",0.0364,0.03,0.0390161841581494,0.0313339780720256,-0.5,0.7
"tangent_t",0.03,0.0292,0.0338147060231838,0.0310646117151028,-0.5,0.7
"arcsine_t",0.042,0.0192,0.0456158753155969,0.0263496305534448,-0.5,0.7
"wilcoxon",0.036,0.0276,0.0391835875763506,0.0320075748610364,-0.5,0.7
"dual_group_logit_t",0.0424,0.0236,0.0439724431613227,0.0311892237281994,-0.5,0.7
"dual_group_boxcox_t",0.034,0.03,0.0382970843102535,0.0313339780720256,-0.5,0.7
"boxcox_t",0.034,0.03,0.0382970843102535,0.0313339780720256,-0.5,0.7
